cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker
02.397.080/0001-96;19364;ITAPEBI GERAÇÃO DE ENERGIA S/A;ITAPEBI GERAÇÃO DE ENERGIA S/A;1999-01-21;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Praia do Flamengo, 78;4º e 10º andares;Flamengo;RIO DE JANEIRO;RJ;22210030.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Geração de Energia Elétrica;http://ri.neoenergia.com/;
60.872.504/0001-23;19348;ITAÚ UNIBANCO HOLDING S.A.;ITAÚ UNIBANCO;1943-01-01;Bancos;FASE OPERACIONAL;PRIVADO;Praça Alfredo Egydio de Souza Aranha, 100, T. Olavo Setubal;Piso Itaú Unibanco;Parque Jabaquara;SÃO PAULO;SP;4344902.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;A sociedade tem por objeto a atividade bancária em todas as modalidades autorizadas, inclusive a de operações de câmbio.;www.itau.com.br/relacoes-com-investidores;['ITUB3', 'ITUB4']
61.532.644/0001-15;7617;ITAUSA S.A.;ITAÚSA;1966-05-06;Intermediação Financeira;FASE OPERACIONAL;PRIVADO;Avenida Paulista, 1938;5º andar;Bela Vista;SÃO PAULO;SP;1310200.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Gestão de Participações Societárias (Holding);www.itausa.com.br;['ITSA3', 'ITSA4']
14.998.371/0001-19;21156;J. MACEDO S/A;J. MACEDO ALIM NORDESTE S/A  - AGUIA S/A;1982-01-01;Alimentos;FASE OPERACIONAL;PRIVADO;Rua Benedito Macêdo;79;Cais do Porto;FORTALEZA;CE;60180415.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Industrialização de massas alimentícias, farinhas, misturas para bolo domésticas, biscoitos, sobremesas e derivados de trigo.;www.jmacedo.com.br;
02.635.522/0001-95;25496;JALLES MACHADO S.A.;JALLES MACHADO S.A;1980-11-28;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Rodovia GO 080, km 185;Fazenda S. Pedro s/n;Zona Rural;GOIANÉSIA;GO;76388899.0;KPMG AUDITORES INDEPENDENTES LTDA.;Exploração agrícola industrial e comercial em todas as suas modalidades, especialmente no que diz respeito à produção de cana-de-açúcar, seus subprodutos, em especial do açúcar e do álcool.;ri.jalles.com;['JALL3']
02.916.265/0001-60;20575;JBS SA;JBS SA;1953-01-01;Alimentos;FASE OPERACIONAL;PRIVADO;Av. Marginal Direita do Tietê, 500;Bloco 3 - 3o andar;Vila Jaguara;SÃO PAULO;SP;5118100.0;KPMG AUDITORES INDEPENDENTES LTDA.;;www.jbs.com.br;['JBSS3']
08.294.224/0001-65;20605;JHSF PARTICIPAÇÕES SA;JHSF;2006-06-29;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Magalhães de Castro, 4.800 - Continental Tower;27º andar;Cidade Jardim;SÃO PAULO;SP;5502001.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Empresa com atividades em desenvolvimento e administração de projetos multiuso nos setores de (i) Incorporação, (ii) Shoppings, Varejo e Digital, (iii) Hospitalidade e Gastronomia, e (iv) Aeroporto;http://ri.jhsf.com.br/;['JHSF3']
33.035.536/0001-00;7811;JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL;JOÃO FORTES ENGENHARIA S.A.;1940-10-10;Construção Civil, Mat. Constr. e Decoração;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Av. das Américas, 3443;Bl.3-Loja108;Barra da Tijuca;RIO DE JANEIRO;RJ;22631003.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Incorporação e construção de imóveis execução por administração de obras de construção civil.;www.joaofortes.com.br/ri;['JFEN3']
87.456.562/0001-22;13285;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;JOSAPAR S/A;1920-01-01;Alimentos;FASE OPERACIONAL;PRIVADO;Av. Carlos Gomes, 651;5º andar;Boa Vista;PORTO ALEGRE;RS;90480003.0;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;Beneficiamento de Arroz e Participações;http://www.josapar.com.br;['JOPA3', 'JOPA4']
52.548.435/0001-79;22020;JSL S.A.;JSL S.A.;1969-08-05;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO HOLDING;Rua Doutor Renato Paes de Barros, 1017, Conjunto 91;ED. Corporate Park;Itaim Bibi;SÃO PAULO;SP;4530001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;www.jsl.com.br/ri;['JSLG3']
