cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker
03.820.456/0001-96;26883;BSB ENERGÉTICA S.A.;BSB ENERGÉTICA S.A.;2000-03-24;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Prudente de Morais, nº 1.250;11º andar;Coração de Jesus;BELO HORIZONTE;MG;30380252.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Geração, comercialização e distribuição de energia elétrica, bem como participação e investimentos em outras sociedades com atividades semelhantes ao seu objeto social.;https://bsbenergetica.com.br;
21.948.105/0001-47;23850;BTGI QUARTZO PARTICIPAÇÕES S.A.;BTGI QUARTZO PARTICIPAÇÕES S.A.;2015-02-02;Sem Setor Principal;FASE PRÉ-OPERACIONAL;PRIVADO HOLDING;Rua da Consolação, 2825;2º andar, Conj. 21;Cerqueira César;SÃO PAULO;SP;1416001.0;RSM ACAL AUDITORES INDEPENDENTES S/S;Participações em outras socidades, simples ou empresárias, nacionais ou estrangeiras, na qualidade de sócia, acionista ou quotista.;https://www.btgpactual.com/home/quartzoparticipacoes.aspx;
21.976.510/0001-79;23841;BTGI SAFIRA PARTICIPAÇÕES S.A.;BTGI SAFIRA PARTICIPAÇÕES S.A.;2015-02-02;Sem Setor Principal;FASE PRÉ-OPERACIONAL;PRIVADO HOLDING;Rua da Consolação, 2825;2o andar, conj. 21;Cerqueira César;SÃO PAULO;SP;1416001.0;RSM ACAL AUDITORES INDEPENDENTES S/S;Participação em outras sociedades, simples ou empresárias, nacionais ou estrangeiras, na qualidade sócia, acionista ou quotista;https://www.btgpactual.com/home/safiraparticipacoes.aspx;
45.242.914/0001-05;24848;C&A MODAS S.A.;C&A MODAS LTDA;1981-01-12;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Alameda Araguaia;1.222/1.022;Alphaville;BARUERI;SP;6455000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Atuação no varejo nos setores de vestuário, acessórios, calçados, higiene, eletrônicos, dentre outros.;https://www.cea.com.br/;['CEAB3']
04.030.182/0001-02;19119;CABINDA PARTICIPAÇÕES SA;CABINDA PARTICIPAÇÕES S.A.;2000-07-31;Sem Setor Principal;FASE PRÉ-OPERACIONAL;PRIVADO HOLDING;Rua Pamplona, 818;conjunto;Jardim Paulista;SÃO PAULO;SP;1405001.0;KPMG AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto social a participação em outras sociedades, comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior.;;['CABI3']
05.336.882/0001-84;22683;CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA;CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA;2002-10-09;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Rua do Passeio, 38 - Setor 2;Torre 2 - Sala 1201;Centro;RIO DE JANEIRO;RJ;20021290.0;KPMG AUDITORES INDEPENDENTES LTDA.;Transmissão de energia elétrica.;www.celeogroup.com;
04.031.213/0001-31;19135;CACONDE PARTICIPAÇÕES SA;CACONDE PARTICIPAÇÕES S.A.;2000-07-31;Sem Setor Principal;FASE PRÉ-OPERACIONAL;PRIVADO HOLDING;Rua Pamplona, 818;conjunto;Jardim Paulista;SÃO PAULO;SP;1405001.0;KPMG AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto social a participação em outras sociedades comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior.;;
04.038.763/0001-82;19097;CAIANDA PARTICIPAÇÕES SA;CAIANDA PARTICIPAÇÕES S.A.;2000-07-31;Sem Setor Principal;FASE OPERACIONAL;PRIVADO HOLDING;Rua Pamplona, 818;conjunto;Jardim Paulista;SÃO PAULO;SP;1405001.0;KPMG AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto Social a participação em outras sociedades, comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior.;;
00.979.969/0001-56;15717;CAIXA ADM DIV PUB ESTADUAL SA;CADIP;1995-12-28;Intermediação Financeira;FASE OPERACIONAL;ESTATAL;Av. Mauá, 1155;Conj. 502 A;Centro;PORTO ALEGRE;RS;90030080.0;MOREIRA ASSOCIADOS AUDITORES INDEPENDENTES S/S;Emitir e colocar no mercado obrigações, adquirir, alienar e dar em garantia ativos, créditos, títulos e valores mobiliários.;http://www.cadip.com.br;
22.543.331/0001-00;23795;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;;2015-05-21;Seguradoras e Corretoras;FASE OPERACIONAL;ESTATAL;SAUS Quadra 3 Bloco E;3º andar;Asa Sul;BRASÍLIA;DF;70070030.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Participar, direta ou indiretamente, do capital de outras sociedades relacionadas a seguridade e corretagem de seguros.;www.ri.caixaseguridade.com.br;['CXSE3']
61.088.894/0001-08;2100;CAMBUCI SA;PENALTY;1945-11-05;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Avenida Getulio Vargas, 930;Escritório;Marmeleiro;SÃO ROQUE;SP;18130430.0;GF AUDITORES INDEPENDENTES;;ri.cambuci.com.br;['CAMB3']
64.904.295/0001-03;24228;CAMIL ALIMENTOS S/A;CAMIL ALIMENTOS S/A;1990-11-09;Alimentos;FASE OPERACIONAL;PRIVADO HOLDING;Av. Rebouças, 3970;12º Andar;Pinheiros;SÃO PAULO;SP;5402600.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Industrialização e comercialização de grãos, pescados, açúcar, massas, biscoitos e café.;www.camilalimentos.com.br;['CAML3']
41.096.674/0001-19;26646;CANTU STORE S.A.;;2020-09-28;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Gomes de Carvalho, 1.108;Conj 144, 14º andar;Vila Olímpia;SÃO PAULO;SP;4547001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Participação, como sócia ou acionista, em outras sociedades que atuam com importação, exportação e comércio de varejo e atacadista (inclusive via internet e-commerce) de pneumáticos.;ri.cantustore.com.br;
02.591.787/0001-39;17493;CAPITALPART PARTICIPAÇÕES SA;CAPITALPART PARTICIPAÇÕES S.A.;1998-06-01;Telecomunicações;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Brigadeiro Faria Lima;2277, 21 andar, 2101;Jardim Paulistano;SÃO PAULO;SP;1452000.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades.;http://capitalpartparticipacoes.mzweb.com.br;['CPTP3B']
00.080.671/0001-00;26190;CARAMURU ALIMENTOS S.A.;CARAMURU ALIMENTOS S.A.;1984-12-17;Alimentos;FASE OPERACIONAL;PRIVADO;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;ITUMBIARA;GO;75520900.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Industrialização, produção, beneficiamento, processamento, comercialização exportação e importação de: cereais, sementes e frutos oleaginosos, insumos agropecuários e Biocombustíveis.;https://ri.caramuru.com;
07.253.321/0001-47;14168;CARBOMIL SA MINER. E INDUSTRIA;CARBOMIL;1966-11-14;Extração Mineral;FASE OPERACIONAL;PRIVADO;Rua Desembargador Lauro Nogueira, 1500;sala 907;Papicu;FORTALEZA;CE;60176065.0;CONTROLLER AUDITORIA E ASSESSORIA CONTÁBIL S/S;Extração e beneficiamento de minerais não metálicos;www.carbomil.com.br;
14.882.295/0001-81;23620;CBO HOLDING S.A.;OCEANA OFFSHORE S.A.;2011-07-20;Petróleo e Gás;FASE OPERACIONAL;PRIVADO;Travessa Braga;número 2;Barreto;NITERÓI;RJ;24110200.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participação, na qualidade de sócia ou por meio de outras modalidades de investimento, em outras empresas que atuem na prestação de serviços de apoio marítimo à indústria de óleo e gás.;https://ri.grupocbo.com.br/;
02.846.056/0001-97;18821;CCR S.A.;CCR S.A.;1998-09-23;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Av Chedid Jafet 222;Bloco B - 4 Andar;Vila Olímpia;SÃO PAULO;SP;4551065.0;KPMG AUDITORES INDEPENDENTES LTDA.;Prestadora de serviços públicos por meio de concessões rodoviária, metroviária e aeroportuária, além de prestação de serviços de meio de pagamentos e outros.;www.ccr.com.br;['CCRO3']
07.950.674/0001-04;20184;CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO;CENTENNIAL ASSET PART. AMAPA S/A;2006-04-10;Extração Mineral;LIQUIDAÇÃO EXTRAJUDICIAL;PRIVADO HOLDING;Rua Lauro Müller, 116;Sl. 2403;Botafogo;RIO DE JANEIRO;RJ;22290906.0;BKR - LOPES, MACHADO AUDITORES;Desenvolvimento de projetos de carvão na Colômbia, incluindo, mas não se limitando a, pesquisa, exploração, lavra, beneficiamento, industrialização, transporte, exportação e comércio de carvão.;www.ri.ccx.com.br;['CCXC3']
02.201.787/0001-85;16675;CEL PARTICIPAÇÕES S.A. - CELPAR;CELPAR;1997-09-10;Educação;FASE OPERACIONAL;PRIVADO;RUA MARIA ANGELICA;310 PARTE;JARDIM BOTANICO;RIO DE JANEIRO;RJ;22461152.0;AUDITÓR - AUDITORES INDEPENDENTES LTDA.;PARTICIPAÇAO EM INSTITUIÇÃO DE EDUCAÇAO - LICEU FRANCO BRASILEIRO SA;;
31.001.230/0001-07;24597;CELEO REDES TRANSMISSÃO DE ENERGIA S.A.;CELEO REDES TRANSMISSÃO DE ENERGIA S.A.;2018-06-26;Energia Elétrica;FASE PRÉ-OPERACIONAL;PRIVADO;Rua do Passeio, 38 - Setor 2;Sala 1201;Centro;RIO DE JANEIRO;RJ;20021290.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Holding;www.celeogroup.com;
93.828.986/0001-73;13854;CEMEPE INVESTIMENTOS SA;CIA MARCOPOLO;1991-03-01;Sem Setor Principal;FASE OPERACIONAL;PRIVADO HOLDING;PRAÇA TIRADENTES, 10;SALA 304 PARTE;CENTRO;RIO DE JANEIRO;RJ;20060070.0;MANDARINO & ASSOCIADOS AUDITORES;HOLDING;www.cemepe.com.br;
06.981.180/0001-16;20303;CEMIG DISTRIBUIÇÃO S/A;CEMIG DISTRIBUIÇÃO S/A;2004-09-08;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Av. Barbacena, 1200;16º andar, ala A1;Santo Agostinho;BELO HORIZONTE;MG;30190131.0;KPMG AUDITORES INDEPENDENTES LTDA.;O objetivo da Companhia é estudar, planejar, projetar, construir, operar e explorar sistemas de distribuição e comercialização de energia elétrica e serviços correlatos.;http://ri.cemig.com.br;
06.981.176/0001-58;20320;CEMIG GERAÇÃO E TRANSMISSÃO S/A;CEMIG GT;2004-09-08;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Avenida Barbacena, 1200;16° andar - Ala B1;Santo Agostinho;BELO HORIZONTE;MG;31190924.0;KPMG AUDITORES INDEPENDENTES LTDA.;Realiza atividades de geração, transmissão e comercialização de energia elétrica e serviços correlatos que lhe tenham sido ou venham a ser concedidos.;http://ri.cemig.com.br;
39.346.861/0350-38;26530;CENCOSUD BRASIL COMERCIAL S.A.;;2001-12-01;Comércio (Atacado e Varejo);FASE OPERACIONAL;ESTRANGEIRO;Avenida das Nações Unidas, nº 12.995;21º Andar;Brooklin Paulista;SÃO PAULO;SP;4578000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Comércio (Atacado e Varejo) atividades de panificação, correspondente bancário, estacionamento para veículos, importação e exportação participação no capital de outras sociedades dentre outras.;www.ri.cencosud.com.br;
00.001.180/0001-26;2437;CENTRAIS ELETRICAS BRASILEIRAS SA;ELETROBRAS;1961-04-25;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Rua da Quitanda, 196;Lj A;Centro;RIO DE JANEIRO;RJ;20091005.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Empresa Holding de Geração, Transmissão de Energia;www.eletrobras.com;['ELET3', 'ELET6', 'ELET5']
83.878.892/0001-55;2461;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;CELESC;1956-01-30;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Avenida Itamarati, 160;Itacorubi;Itacorubi;FLORIANÓPOLIS;SC;88034900.0;KPMG AUDITORES INDEPENDENTES LTDA.;Holding do Setor de Energia;www.celesc.com.br;['CLSC3', 'CLSC4']
00.357.038/0001-16;27472;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;1973-06-20;Energia Elétrica;FASE OPERACIONAL;PRIVADO;SEPN 504;BLOCO D;ASA NORTE;BRASÍLIA;DF;70730524.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Geração e Transmissão de Energia;https://www.eletronorte.com.br/;
08.322.396/0001-03;26522;CERRADINHO BIOENERGIA S.A.;;2006-06-04;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Rodovia GO 050, km 11 + 900mts;S/Nº;Zona Rural;CHAPADÃO DO CÉU;GO;75828000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Exploração de agricultada em geral, especialmente o plantio de cana-de-açúcar, a fabricação e comércio de açúcar, etanol e seus derivados, de levedura seca e melaço para ração animal, entre outros.;http://www.cerradinhobio.com.br/home-ri/;
60.933.603/0001-78;2577;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;CESP CIA ENERGETICA SAO PAULO;1966-12-06;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Av. Dra. Ruth Cardoso, 8501;2º andar;Pinheiros;SÃO PAULO;SP;5425070.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Geração e Comercialização de Energia Elétrica;https://ri.aurenenergia.com.br/cesp/;
19.014.221/0001-47;27103;CHINA THREE GORGES BRASIL ENERGIA S.A.;;2013-09-26;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Funchal, nº 418;3º andar, Sala 1;Vila Olímpia;SÃO PAULO;SP;4551060.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Holdings de instituições não-financeiras.;ri.ctgbr.com.br;
82.508.433/0001-17;16861;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;CASAN;1970-12-31;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Emilio Blun;83;Centro;FLORIANÓPOLIS;SC;88020010.0;RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S;Atuar como instituição integrante do sistema de saneamento básico e de saúde do Estado de Santa Catarina através dos serviços de captação, tratamento e distribuição de água e tratamento de esgoto.;www.casan.com.br;['CASN3', 'CASN4']
15.139.629/0001-94;14524;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;COELBA;1966-09-22;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Edgard Santos;N° 300;Narandiba;SALVADOR;BA;41181900.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Serviço Público de Distribuição de Energia Elétrica;http://ri.neoenergia.com/;['CEEB3', 'CEEB5', 'CEEB6']
02.016.507/0001-69;27480;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;ELETROBRAS CGT ELETROSUL;1997-08-05;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Deputado Antonio Edu Vieira, 999;;Pantanal;FLORIANÓPOLIS;SC;88040901.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Geração e Transmissão de Energia;https://www.cgteletrosul.com.br;
01.938.783/0001-11;18708;CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA;CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA;1997-05-14;Sem Setor Principal;FASE OPERACIONAL;PRIVADO HOLDING;Av Professor Magalhães Neto, 1.752;11º andar;Pituba;SALVADOR;BA;41810012.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participações em outras sociedades, na qualidade de sócia e/ou quotista e administração de bens próprios;http://www.aliancaparticipacoes.com.br;['PEAB3', 'PEAB4']
07.047.251/0001-70;14869;CIA ENERG CEARA - COELCE;CIA ENERG CEARA - COELCE;1971-08-30;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Padre Valdevino;150;Centro;FORTALEZA;CE;60135040.0;KPMG AUDITORES INDEPENDENTES LTDA.;Distribuição de energia elétrica.;https://ri.enel.com/;['COCE3', 'COCE5']
17.155.730/0001-64;2453;CIA ENERG MINAS GERAIS - CEMIG;CEMIG;1952-05-22;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Avenida Barbacena, 1200;16º / B1;Santo Agostinho;BELO HORIZONTE;MG;30190131.0;KPMG AUDITORES INDEPENDENTES LTDA.;Concessionária de serviço público de energia elétrica.;www.cemig.com.br;['CMIG3', 'CMIG4']
10.835.932/0001-08;14362;CIA ENERGÉTICA DE PERNAMBUCO - CELPE;CELPE;1965-02-10;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Av. João de Barros;nº 111;Boa Vista;RECIFE;PE;50050902.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Estudar, projetar, construir e explorar os sistemas de distribuição e comercialização aos consumidores finais de energia elétrica, bem como a geraçãa de energia elétrica em sistema isolado.;http://ri.neoenergia.com/;
08.324.196/0001-81;18139;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;COSERN;1961-12-14;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Mermoz;Nº 150;Baldo;NATAL;RN;59025250.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Serviço Público de Distribuição de Energia Elétrica;http://ri.neoenergia.com/;['CSRN3', 'CSRN6', 'CSRN5']
33.352.394/0001-04;16373;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;CEDAE;1975-08-01;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Avenida Presidente Vargas, 2655;6º andar;Cidade Nova;RIO DE JANEIRO;RJ;20210031.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Exploração de serviços públicos e de sistemas privados de abastecimento de água , de coleta, remoção e destinação final de efluentes e seus subprodutos.;www.cedae.com.br;
08.467.115/0001-00;20648;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA;CEEE-D;2006-12-01;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Av. Joaquim Porto Villanova, 201;Predio A1 sala 620;Jardim Carvalho;PORTO ALEGRE;RS;91410400.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Prestação de serviços de natureza pública ou privada, no setor de distribuição de energiaelétrica.;https://ri.equatorialenergia.com.br/pt-br/;['CEED3', 'CEED4']
92.715.812/0001-31;3204;CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA;CEEE-GT;1963-12-19;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Rua Dr. João Inácio, 859;;Navegantes;PORTO ALEGRE;RS;90230181.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Transmissão de Energia Elétrica;http://www.cpfl.com.br/;
15.141.799/0001-03;3069;CIA FERRO LIGAS BAHIA FERBASA;FERBASA;1961-02-23;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Estrada de Santiago, s/n,;Sede;Santiago;POJUCA;BA;48120000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Fabricação e comercialização dos diversos tipos de ferroligas;www.ferbasa.com.br;['FESA3', 'FESA4']
33.541.368/0001-16;3328;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;CHESF;1948-03-15;Energia Elétrica;FASE OPERACIONAL;;Rua Delmiro Gouveia, 333;Bloco A, Sala 307;San Martin;RECIFE;PE;50761901.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Produção e Transmissão de Energia Elétrica;www.chesf.com.br;
82.981.929/0001-03;3549;CIA INDUSTRIAL SCHLOSSER S.A.;SCHLOSSER TECIDOS;1833-10-21;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Avenida Getulio Vargas, 63/87;0;Centro;BRUSQUE;SC;88353000.0;PSW BRASIL AUDITORES INDEPENDENTES;Tecidos para Vestuário;www.schlosser.com.br;['SC303', 'SCL04']
04.172.213/0001-51;19275;CIA PIRATININGA DE FORÇA E LUZ;CPFL - PIRATININGA;2000-12-01;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Jorge de Figueiredo Correa, nº 1.632;(parte);Jd. Profª Tarcilia;CAMPINAS;SP;13087397.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Prestação de serviços públicos de distribuição de energia elétrica.;www.cpfl.com.br;
92.802.784/0001-90;16748;CIA RIOGRANDENSE DE SANEAMENTO;CORSAN;1965-12-21;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Caldas Júnior, nº 120;18º Andar;Centro;PORTO ALEGRE;RS;90010260.0;KPMG AUDITORES INDEPENDENTES LTDA.;Abastecimento de água, coleta e tratamento de esgoto sanitário;www.corsan.com.br;
43.776.517/0001-80;14443;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;SABESP;1973-09-06;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Costa Carvalho, nº 300;Diretoria F;Pinheiros;SÃO PAULO;SP;5429900.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Abastecimento de água, esgotamento sanitário, drenagem e manejo de águas pluviais urbanas, limpeza urbana, manejo de resíduos sólidos e energia.;ri.sabesp.com.br;['SBSP3']
35.522.178/0001-87;26107;CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II;CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II;2019-09-16;Securitização de Recebíveis;FASE OPERACIONAL;PRIVADO;Rua Cardeal Arcoverde 2365;7 andar;Pinheiros;SÃO PAULO;SP;5407003.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;
33.042.730/0001-04;4030;CIA SIDERURGICA NACIONAL;CSN;1941-04-09;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Av. Brigadeiro Faria Lima, 3400;19º andar;Itaim Bibi;SÃO PAULO;SP;4538132.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;A Companhia Siderúrgica Nacional atua nos setores de mineração, siderurgia, logística, cimento e energia.;www.csn.com.br;
22.677.520/0001-76;3158;CIA TECIDOS NORTE DE MINAS - COTEMINAS - EM RECUPERAÇÃO JUDICIAL;COTEMINAS;1967-12-05;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;avenida lincoln alves dos santos;955;Distrito Industrial;MONTES CLAROS;MG;39404005.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Holding;www.ctnm.com.br;['CTNM3', 'CTNM4']
21.255.567/0001-89;4081;CIA TECIDOS SANTANENSE - EM RECUPERAÇÃO JUDICIAL;SANTANENSE;1891-10-23;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rua Doutor Alcides Gonçalves;1500;Santanense;ITAÚNA;MG;39404006.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Indústria têxtil;www.santanense.com.br;['CTSA3', 'CTSA4']
76.484.013/0001-45;18627;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;SANEPAR;1963-01-23;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Engenheiros Rebouças, 1376;;Rebouças;CURITIBA;PR;80215900.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;EXPLORAÇÃO DE SERVIÇOS PÚBLICOS E DE SISTEMAS PRIVADOS DE ABASTECIMENTO DE ÁGUA, DE COLETA, REMOÇÃO E DESTINAÇÃO FINAL DE EFLUENTES E RESÍDUOS SÓLIDOS DOMÉSTICOS E INDUSTRIAIS E SEUS SUBPRODUTOS.;http://ri.sanepar.com.br/;['SAPR3', 'SAPR4', 'SAPR11']
33.938.119/0001-69;16616;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;CEG;1969-05-28;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Av. das Américas, n° 4200, Bloco 6;Salas 101 a 601;Barra da Tijuca;RIO DE JANEIRO;RJ;22640907.0;KPMG AUDITORES INDEPENDENTES LTDA.;Distribuição de gás natural na região metropolitana do Estado do Rio de Janeiro.;www.naturgy.com.br;['CEGR3']
10.319.900/0001-50;26921;CICLUS AMBIENTAL DO BRASIL S.A.;CICLUS AMBIENTAL DO BRASIL S.A.;2008-08-08;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida Brasil, nº 20.731;;Barros Filho;RIO DE JANEIRO;RJ;21515001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Gestão de resíduos sólidos captação, tratamento e comercialização de biogás produção e comercialização de créditos de carbono serviço de tratamento de chorume operação de aterro sanitário etc.;https://ciclusambiental.com.br/investidores;
01.027.058/0001-91;21733;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1995-11-23;Intermediação Financeira;FASE OPERACIONAL;PRIVADO;Alameda Xingu;512;Alphaville;BARUERI;SP;6455030.0;KPMG AUDITORES INDEPENDENTES LTDA.;Empresa prestadora de serviços de adquirência e meios de pagamento.;www.cielo.com.br;['CIEL3']
00.272.185/0001-93;14818;CIMS SA;CIMS SA;1994-10-21;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Avenida Bartolomeu Mitre, nº 336;Parte;Leblon;RIO DE JANEIRO;RJ;22431002.0;RSM ACAL AUDITORES INDEPENDENTES S/S;Participação no Capital de Outras Empresas;www.cims.com.br;['CMFA3', 'CMFA4']
68.400.225/0001-79;26549;CLARANET TECHNOLOGY S.A.;;1992-08-25;Comunicação e Informática;FASE OPERACIONAL;ESTRANGEIRO;Avenida Tamboré, nº 267;conjunto 171-B;Tamboré;BARUERI;SP;6460000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Prestadores de serviços de soluções de tecnologia e plataformas digitais de nova geração para comercialização entre empresas (B2B), tais como computação em nuvem, cibersegurança e dados.;www.claranet.com.br;
07.043.628/0001-13;23531;CLARO TELECOM PARTICIPAÇÕES S.A.;CLARO TELECOM PARTICIPAÇÕES S.A.;2004-09-27;Telecomunicações;FASE OPERACIONAL;PRIVADO;Rua Henri Dunant, nº 780;Torre B - 2º andar;Santo Amaro;SÃO PAULO;SP;4709110.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;empresa holding de instituições não-financeiras;https://www.claropar.com.br/;
03.802.115/0001-98;26093;CLEAR SALE S.A;;2000-04-24;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Av. Marcos Penteado de Ulhoa Rodrigues, nº 939;Jacarandá, 3º andar;Alphaville Industria;BARUERI;SP;6460040.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Desenvolvimento e licenciamento de programas de computador customizáveis;ri.clear.sale;['CLSA3']
