;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
493;29.950.060/0001-57;22985;NORTEC QUIMICA S.A.;NORTEC QUIMICA S.A.;2002-07-25;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;Rua Dezessete;200;Xerém;DUQUE DE CAXIAS;RJ;25250612.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Química Fina, Ciências da Vida, fabricantes de Insumos Farmacêuticos Ativos - matéria-prima para a Indústria Farmacêutica;www.nortecquimica.com.br;['NRTQ3'];False
496;51.128.999/0001-90;21334;NUTRIPLANT INDUSTRIA E COMÉRCIO S/A;NUTRIPLANT;1979-01-01;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Rua Arnaldo, 388;;Bairro Engenho Novo;BARUERI;SP;6415110.0;HOLDER AUDITORES INDEPENDENTES S/S - EPP;Industria e comércio de fertilizantes para agricultura.;www.ri.nutriplant.com.br;['NUTR3'];False
498;09.114.805/0001-30;25534;OCEANPACT SERVIÇOS MARÍTIMOS S.A.;OCEANPACT SERVIÇOS MARÍTIMOS S.A.;2007-08-01;Petróleo e Gás;FASE OPERACIONAL;PRIVADO;Rua da Glória, nº 122, salas 801 e 802 10º pavimento;salas 901 e 902;Glória;RIO DE JANEIRO;RJ;20241180.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Serviços de suporte marítimo, incluindo soluções de meio ambiente, serviços submarinos e de apoio logístico e de engenharia para clientes de diversos setores, como óleo e gás, energia, mineração, tele;https://oceanpact.com/;['OPCT3'];False
499;58.119.199/0001-51;20125;ODONTOPREV S/A;ODONTOPREV S/A;1987-01-01;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Alameda Araguaia, 2104;21º andar;Alphaville;BARUERI;SP;6455000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Operadora de planos odontológicos;www.odontoprev.com.br/ri;['ODPV3'];False
500;76.535.764/0001-43;11312;OI S.A. - EM RECUPERAÇÃO JUDICIAL;BRASIL TELECOM S.A.;2000-02-28;Telecomunicações;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rua do Lavradio, 71;2º andar;Centro;RIO DE JANEIRO;RJ;20230070.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;www.oi.com.br/ri;['OIBR3', 'OIBR4'];False
502;12.104.241/0004-02;26123;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;;2010-01-10;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, nº 510;2º andar;Vila Nova Conceição;SÃO PAULO;SP;4543906.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Exploração de serviços médicos, participação em outras sociedades, nacionais ou estrangeiras, pesquisa e desenvolvimento experimental em ciências físicas e naturais, intermediação em pesquisa clínica.;www.grupooncoclinicas.com/ri;['ONCO3'];False
505;11.421.994/0001-36;25550;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;2009-11-30;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, 12.901;8º andar, Torre Oest;Brooklin Paulista;SÃO PAULO;SP;4578910.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Atuação na cadeia de gestão de resíduos: tratamento e destinação final de resíduos exploração do biogás, energia e créditos de carbono beneficiamento de resíduos e serviços de engenharia ambiental;http://orizonvr.com.br/;['ORVR3'];False
506;09.112.685/0001-32;21342;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2007-07-03;Sem Setor Principal;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO HOLDING;Rua Lauro Müller, 116;2405;Botafogo;RIO DE JANEIRO;RJ;22290906.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Equipamentos e Serviços para a indústria offshore de petróleo e gás natural.;www.osx.com.br;['OSXB3'];False
507;20.258.278/0001-70;23507;OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.;;2014-04-10;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rodovia Anhanguera, SP 330, KM 298, Bloco C, 2º andar;Set. O. F. S. Partic;Distrito Industrial;CRAVINHOS;SP;14140000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades que execerçam atividades de desenvolvimento, fabricação e comercialização de produtos destinados ao setor de saúde animal.;http://ri.ourofino.com/;['OFSA3'];False
509;02.365.069/0001-44;18414;PADTEC HOLDING S.A.;--;1998-01-26;Telecomunicações;FASE OPERACIONAL;PRIVADO;Rua Dr. Ricardo Benetton Martins nº 1.000;Parque II;Polo Alta Tecnologia;CAMPINAS;SP;13086510.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades, fundos de investimento, carteiras de valores mobiliários ou outros veículos de investimento, que atuem na área de tecnologia, em especial na Padtec S.A.;www.padtec.com.br;['PDTC3'];False
511;92.693.019/0001-89;94;PANATLANTICA SA;PANATLANTICA;1967-07-20;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua Rudolfo Vontobel, 600;-;Distrito Industrial;GRAVATAÍ;RS;94045405.0;MICHELON AUDITORES E CONSULTORES SOCIEDADE SIMPLES;Industrialização e Comercialização de Aços Planos.;www:panatlantica.com.br;['PATI3', 'PATI4'];False
513;60.398.369/0004-79;9393;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;PARANAPANEMA S.A.;1977-07-20;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;VIA DO COBRE, 3700;ÁREA INDUSTRIAL OEST;COPEC;DIAS D'ÁVILA;BA;42850000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Metalurgia do cobre e suas ligas;www.paranapanema.com.br;['PMAM3'];False
517;83.475.913/0001-91;13773;PBG S/A;PORTOBELLO S/A;1778-09-05;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;SC-401;4756;Saco Grande;FLORIANÓPOLIS;SC;88032005.0;KPMG AUDITORES INDEPENDENTES LTDA.;;http://ri.portobello.com.br;['PTBL3'];False
519;02.950.811/0001-89;20478;PDG REALTY S.A. EMPREEND E PARTICIPACOES;PDG REALTY SA EMPREENDIMENTOS E PARTS;2003-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Av. Dr. Cardoso de Melo;1855, 6º andar;Vila Olímpia;SÃO PAULO;SP;4548005.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Construção e Incorporação;www.pdg.com.br/ri;['PDGR3'];False
520;18.328.118/0001-09;25089;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2013-06-19;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Doutor Miguel Paulo Capalbo, 166;Anexos 192 e 214;Pari;SÃO PAULO;SP;3035040.0;KPMG AUDITORES INDEPENDENTES LTDA.;Importação, exportação e comércio (inclusive via internet e-commerce) de artigos para animais, plantas, flores, sementes hospital veterinário, consultório, clínica veterinária, banho/tosa e hotel.;http://www.petz.com.br;['PETZ3'];True
522;33.000.167/0001-01;9512;PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS;PETROBRAS;1953-10-03;Petróleo e Gás;FASE OPERACIONAL;ESTATAL HOLDING;Av. República do Chile, nº 65;24º andar;Centro;RIO DE JANEIRO;RJ;20031912.0;KPMG AUDITORES INDEPENDENTES LTDA.;Pesquisa, lavra, refinação, processamento, comércio e transporte de petróleo, de seus derivados, de gás natural e de outros hidrocarbonetos fluidos, além das atividades vinculadas à energia.;http://www.petrobras.com.br;['PETR3', 'PETR4'];True
524;03.342.704/0001-30;25780;PETRORECÔNCAVO S.A.;PETRORECÔNCAVO S.A.;1999-07-21;Petróleo e Gás;FASE OPERACIONAL;PRIVADO;Estrada do Vinte Mil;Km 3,5;Estação de São Roque;MATA DE SÃO JOÃO;BA;48280000.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Exploração e produção de petróleo e gás natural;www.petroreconcavo.com.br/;['RECV3'];False
525;88.613.658/0001-10;9539;PETTENATI S.A. INDUSTRIA TEXTIL;PETTENATI;1964-06-11;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;ROD RSC 453, S/N;KM 2,4;DISTRITO INDUSTRIAL;CAXIAS DO SUL;RS;95010550.0;KPMG AUDITORES INDEPENDENTES LTDA.;;www.pettenati.com.br;['PTNT3', 'PTNT4'];False
526;24.230.275/0001-80;25070;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;;2016-01-13;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua Gerivatiba, nº 207, conjunto 172;;Butantã;SÃO PAULO;SP;5501900.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;(i) incorporação, construção e comercialização de empreendimentos imobiliários (ii) locação de imóveis próprios (iii) administração de carteira de recebíveis de financiamentos, empréstimos imobiliár;www.planoeplanori.com.br;['PLPL3'];False
527;51.928.174/0001-50;13471;PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A;PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A;1984-05-02;Máqs., Equip., Veíc. e Peças;FASE OPERACIONAL;PRIVADO;Rua Wilhelm Winter, 300;sala 1;Distrito Industrial;JUNDIAÍ;SP;13213000.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Participação em outras empresas;https://plascar.com.br/;['B3'];False
528;59.789.545/0001-71;13447;POLPAR S.A.;POLPAR S.A.;1988-11-29;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Av. Brigadeiro Faria Lima, 1355;21º andar;Jardim Paulistano;SÃO PAULO;SP;1452919.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Participação em outras empresas;www.polpar.com.br;['PPAR3'];False
531;02.149.205/0001-69;16659;PORTO SEGURO SA;PORTO SEGURO SA;1997-09-22;Seguradoras e Corretoras;FASE OPERACIONAL;PRIVADO;Alameda Barão de Piracicaba, 740 - Torre B;11º andar;Campos Elíseos;SÃO PAULO;SP;1216012.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Gestão de Participações Societárias (holding);www.portoseguro.com.br;['PSSA3'];False
534;81.243.735/0001-48;20362;POSITIVO TECNOLOGIA S.A.;POSITIVO INFORMATICA SA;1972-01-01;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Rua João Bettega, 5200;Não aplicável;Cidade Industrial;CURITIBA;PR;81350000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Fabricação de hardware.;www.positivotecnologia.com.br/ri;['POSI3'];False
