;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
626;33.467.572/0001-34;11231;TEKNO S.A. INDÚSTRIA E COMÉRCIO;TEKNO;1939-01-01;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua Alfredo Mário Pizzotti, 51;4º andar;Vila Guilerme;SÃO PAULO;SP;2060040.0;KPMG AUDITORES INDEPENDENTES LTDA.;Pintura de Bobinas e Chapas Metálicas;www.teknokroma.com.br;['TKNO3', 'TKNO4'];False
627;00.336.701/0001-04;11258;TELEC. BRASILEIRAS S.A. - TELEBRÁS;TELEBRAS;1972-11-09;Telecomunicações;FASE OPERACIONAL;ESTATAL;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;BRASÍLIA;DF;70610440.0;CONSULT - AUDITORES INDEPENDENTES;Consecução e execução das Políticas Públicas de Telecomunicação (Decreto 9.612/2018).;www.telebras.com.br;['TELB3', 'TELB4'];False
628;02.558.157/0001-62;17671;TELEFÔNICA BRASIL S.A.;TELEFÔNICA BRASIL;1998-05-22;Telecomunicações;FASE OPERACIONAL;PRIVADO;Av Engenheiro Luis Carlos Berrini, 1376;32º andar;Cidade Monções;SÃO PAULO;SP;4571936.0;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;Prestação de serviços de telecomunicações, exploração de serviços de valor adicionado e soluções integradas.;www.telefonica.com.br;['VIVT3'];True
630;02.664.042/0001-52;18538;TERMINAL GARAGEM MENEZES CORTES SA;TGMC;1998-06-23;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;rua Sao Jose nr 35;16 andar;Centro;RIO DE JANEIRO;RJ;20010020.0;BKR - LOPES, MACHADO AUDITORES;;;['MNZC3'];False
632;40.337.136/0001-06;26000;TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;TS AGRO S.A.;2021-01-11;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Praça General Gentil Falcão, 108, 8º andar;Cj. 81, Sala 4;Cidade Monções;SÃO PAULO;SP;4571150.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Aquisição, administração e arrendamento de propriedades rurais com potencial de geração de valor por meio da valorização de terras e da receita de arrendamento das mesmas.;https://terrasantapa.com.br/;['LAND3'];False
633;82.982.075/0001-80;7544;TÊXTIL RENAUXVIEW S/A;RENAUXVIEW;1925-04-24;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rua do Centenário, 215;Casa;Centro;BRUSQUE;SC;88351020.0;STEINBACH & AUDITORES ASSOCIADOS;Fiação e tecelagem de algodão;www.renauxview.com.br;['TRXR3', 'TXRX4'];False
636;02.421.421/0001-11;24929;TIM S.A.;TIM S.A.;1998-02-11;Telecomunicações;FASE OPERACIONAL;PRIVADO HOLDING;Avenida João Cabral de Mello Neto, nº 850;Blc 01,  501/ 1208;Barra da Tijuca;RIO DE JANEIRO;RJ;22775057.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;www.tim.com.br/ri;['TIMS3'];True
637;53.113.791/0001-22;19992;TOTVS S.A;TOTVS S.A;1983-01-01;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Avenida Braz Leme;1000;Casa Verde;SÃO PAULO;SP;2511000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Prestação de serviços de consultoria, assessoria e desenvolvimento de sistemas informatizados (software), atividades de pesquisa e inovação tecnológica, prestação de serviços relacionados à gestão.;www.totvs.com;['TOTS3'];True
638;03.014.553/0001-91;19330;TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.;TPI;1999-01-11;Serviços Transporte e Logística;EM RECUPERAÇÃO EXTRAJUDICIAL;PRIVADO HOLDING;Rua Olimpíadas, 205;14º andar;Vila Olímpia;SÃO PAULO;SP;4551000.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;A Triunfo atua nos segmentos de concessões rodoviárias, aeroportuária, geração de energia eadministração portuária.;www.triunfo.com;['TPIS3'];False
639;59.418.806/0001-47;25208;TRACK & FIELD CO S.A;;1988-08-19;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Av. Dr. Kenkiti Shimomoto, nº 1678;;Parque Log. Osasco;OSASCO;SP;5583000.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Atuação no varejo dos setores de vestuário, acessórios e calçados, dentre outros.;www.tfco.com.br;['TFCO4'];False
641;07.859.971/0001-30;20257;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;2006-01-23;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Av. das Américas, 2480;Bloco 6;Barra da Tijuca;RIO DE JANEIRO;RJ;22640101.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Transmissão de Energia Elétrica.;www.taesa.com.br;['TAEE3', 'TAEE4', 'TAEE11'];True
646;94.813.102/0001-70;25950;TRÊS TENTOS AGROINDUSTRIAL S.A.;TRÊS TENTOS AGROINDUSTRIAL S.A.;2011-07-27;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Avenida Principal, nº 187;;Distrito Industrial;SANTA BÁRBARA DO SUL;RS;98240000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Varejo de insumos agrícolas Recebimento e comercialização de grãos de soja, milho e trigo e Indústria, na cadeia de soja.;www.3tentos.com.br;['TTEN3'];False
649;08.811.643/0001-27;21130;TRISUL S/A;TRISUL;2007-04-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Alameda dos Jaúnas, 70;;Indianópolis;SÃO PAULO;SP;4522020.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Incorporadora e Construtora;www.trisul-sa.com.br/ri;['TRIS3'];False
650;15.115.504/0001-24;11398;TRONOX PIGMENTOS DO BRASIL S.A.;MILLENNIUM INORGANIC CHEMICALS DO BRASIL;1966-03-23;Petroquímicos e Borracha;FASE OPERACIONAL;PRIVADO HOLDING;RODOVIA BA-099;ESTRADA DO COCO S/N;DISTRITO DE ABRANTES;CAMAÇARI;BA;42829710.0;KPMG AUDITORES INDEPENDENTES LTDA.;Produção e o comércio de produtos químicos, especialmente pigmento branco de titânio e seus subprodutos.;https://www.tronox-al.com.br/;['CRPG3', 'CRPG6', 'CRPG5'];False
651;84.683.374/0001-49;6343;TUPY SA;TUPY;1938-02-01;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua Albano Schmidt, 3.400;-;Boa Vista;JOINVILLE;SC;89227901.0;KPMG AUDITORES INDEPENDENTES LTDA.;Produtos fundidos para os setores de transporte de carga, infraestrutura, agricultura e geração de energia / conexões em ferro fundido para aplicações em redes hidráulicas e de gás / perfis;www.tupy.com.br;['TUPY3'];False
653;33.256.439/0001-39;18465;ULTRAPAR PARTICIPAÇÕES SA;ULTRAPAR PARTICIPAÇÕES SA;1953-12-11;Petróleo e Gás;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Luís Antônio, 1.343;8º andar;Bela Vista;SÃO PAULO;SP;1317910.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Atuação em energia, mobilidade e infraestrutura logística por meio da Ultragaz, Ipiranga e Ultracargo.;www.ultra.com.br;['UGPA3'];True
655;90.441.460/0001-48;22780;UNICASA INDÚSTRIA DE MÓVEIS S.A.;;1985-09-02;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rodovia Federal BR-470;Km 212,930;São Vendelino;BENTO GONÇALVES;RS;95707540.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Indústria, comércio, prestação de serviços, importação e exportação de produtos relacionados ao ramo de mobiliário em geral, planejado e modulado de madeira, ferro, aço, alumínio e outros materiais.;http://www.unicasamoveis.com.br;['UCAS3'];False
658;02.255.187/0001-08;26050;UNIFIQUE TELECOMUNICAÇÕES S.A.;;1997-11-05;Telecomunicações;FASE OPERACIONAL;PRIVADO;Rua Duque de Caxias, nº 831;;Centro;TIMBÓ;SC;89120000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Serviços de comunicação multimídia - SCM, instalação e manutenção elétrica e serviços de telefonia fixa comutada - STFC;http://ri.unifique.com.br;['FIQE3'];False
660;33.958.695/0001-78;11592;UNIPAR CARBOCLORO S.A.;UNIPAR CARBOCLORO S.A.;1969-05-28;Petroquímicos e Borracha;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, nº 1327;22º andar;Itaim Bibi;SÃO PAULO;SP;4543011.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Atuar no setor de soda, cloro e derivados, podendo participar como sócia ou acionista de outras sociedades, direta ou indiretamente, inclusive por meio de fundos de investimentos.;www.unipar.com;['UNIP3', 'UNIP6', 'UNIP5'];False
661;02.162.616/0001-94;16624;UPTICK PARTICIPACOES SA;UPTICK PARTICIPACOES;1997-09-08;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;;www.uptickbrasil.com.br;['UPKP3'];False
664;60.894.730/0001-05;14320;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;USIMINAS;1956-04-25;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Av. do Contorno, 6594;Andar 11;Savassi;BELO HORIZONTE;MG;30110044.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Venda de produtos siderúrgicos, como Chapas Grossas, Laminados a quente, a frio, placas, galvanizados, entre outros.;www.usiminas.com;['USIM3', 'USIM6', 'USIM5'];True
666;33.592.510/0001-54;4170;VALE S.A.;VALE;1942-06-01;Extração Mineral;FASE OPERACIONAL;PRIVADO;Torre Oscar Niemeyer, Praia de Botafogo nº 186;salas 1901 e outras;Botafogo;RIO DE JANEIRO;RJ;22250145.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Mineração;www.vale.com;['VALE3'];True
667;33.113.309/0001-47;20028;VALID SOLUÇÕES S.A.;AMERICAN BANKNOTE COMPANY;1957-01-01;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;R. Laura Maiello Kook;511;Ipanema das Pedras;SOROCABA;SP;18052445.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Integração de Soluções de Identificação Segura, físicas e digitais, para os ecossistemas de ID & Governo Digital, Banking & Meios de Pagamento e Conectividade Segura.;www.valid.com;['VLID3'];False
668;23.373.000/0001-32;24716;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;2015-09-21;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Rua Doutor Renato Paes de Barros, 1017;6º andar;Itaim Bibi;SÃO PAULO;SP;4530001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Locação e venda de caminhões, máquinas e equipamentos pesados e a prestação de serviços de manutenção de frota, tanto preventiva, quanto corretiva.;http://www.grupovamos.com.br/;['VAMO3'];False
671;49.669.856/0001-43;21440;VESTE SA ESTILO;LE LIS BLANC DEUX;1982-01-01;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Othão;405;Vila Leopoldina;SÃO PAULO;SP;5313020.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;(a) confecção de produtos em geral, através de terceiros (b) importação e exportação (c) exploração de comércio e indústria de confecção de produtos em geral.;www.veste.com;['VSTE3'];False
676;34.274.233/0001-02;24295;VIBRA ENERGIA S/A;VIBRA ENERGIA S/A;1971-11-12;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Correia Vasques nº 250;8º andar;Cidade Nova;RIO DE JANEIRO;RJ;20211140.0;KPMG AUDITORES INDEPENDENTES LTDA.;Distribuição e venda de álcool carburante, biodísel, gasolina e demais derivados de petróleo, incluindo lubrificantes, assim como gás natural.;www.vibraenergia.com.br;['VBBR3'];True
679;20.512.706/0001-40;27057;VITRU BRASIL EMPREENDIMENTOS, PARTICIPAÇÕES E COMÉRCIO S.A.;;2014-06-26;Educação;FASE OPERACIONAL;PRIVADO HOLDING;Rodovia José Carlos Daux, n.º 5500, torre Jurerê A;2º Andar, Sala T;Saco Grande;FLORIANÓPOLIS;SC;88032005.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;A Companhia atua na participação no capital de outras sociedades, no desenvolvimento de atividades relacionadas à educação na realização de congressos educacionais e na comercialização de livros.;https://investors.vitru.com.br/;['VTRU3'];False
680;45.365.558/0001-09;25763;VITTIA S.A.;VITTIA S.A.;1971-06-16;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Avenida Marginal Esquerda, 1.000;;Distrito Industrial;SÃO JOAQUIM DA BARRA;SP;14600000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Produção de fertilizantes especiais e defensivos biológicos.;https://vittia.com.br/;['VITT3'];False
681;33.839.910/0001-11;24805;VIVARA PARTICIPAÇÕES S.A.;VIVARA PARTICIPAÇÕES S.A.;2019-05-23;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Verbo Divino, 1207;Edifício São José;Chác. Santo Antonio;SÃO PAULO;SP;4719901.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades, na qualidade de quotistas, ou acionistas holding de instituições não-financeiras e agente de propriedade intelectual.;https://ri.vivara.com.br;['VIVA3'];False
682;67.571.414/0001-41;20702;VIVER INCORPORADORA E CONSTRUTORA S.A;VIVER;1992-02-06;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Brigadeiro Faria Lima, nº 1.656;1º Andar;Jardim Paulistano;SÃO PAULO;SP;1451918.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Construção, incorporação, aquisição de créditos com lastro em ativos imobiliários, obras paradas, vendas, repasse, cobrança, assistência técnica, negociação de dívidas e processos judiciais.;http://www.viver.com.br;['VIVR3'];False
686;50.926.955/0001-42;11762;VULCABRAS S.A.;VULCABRAS S/A.;1952-07-29;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Av. Antônio Frederico Ozanan;1440;Da Grama;JUNDIAÍ;SP;13219001.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem.;www.vulcabrasri.com;['VULC3'];False
688;84.429.695/0001-11;5410;WEG SA;WEG SA;1961-06-30;Máqs., Equip., Veíc. e Peças;FASE OPERACIONAL;PRIVADO HOLDING;Av. Prefeito Waldemar Grubba;3300;Vila Lalau;JARAGUÁ DO SUL;SC;89256900.0;KPMG AUDITORES INDEPENDENTES LTDA.;A WEG SA é uma sociedade de participação não operacional (holding) etambém sociedade de comando do Grupo WEG.;http://ri.weg.net;['WEGE3'];True
689;14.776.142/0001-50;25518;WESTWING COMÉRCIO VAREJISTA S.A.;WESTWING COMÉRCIO VAREJISTA S.A.;2012-12-12;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Av. Queiroz Filho, 1700;Torre A;Vila Hamburguesa;SÃO PAULO;SP;5319000.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Comércio físico e digital varejista de móveis e artigos domésticos em geral, vestuário e bens e acessórios de uso pessoal serviços de design de interiores e arquitetura.;http://www.westwing.com.br;['WEST3'];False
690;84.683.671/0001-94;11991;WETZEL S.A.;WETZEL S.A.;1932-04-11;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua Dona Francisca, nº 8300, Perini Business Park;Bloco H;Distrito Industrial;JOINVILLE;SC;89219600.0;SÉRGIO STAHN AUDITORES INDEPENDENTES S/S;Fabricação de peças e acessórios para sistema motor de veículos automotoresFabricação de material elétrico e de luminárias para instalações em circuito de consumo;www.wetzel.com.br;['MWET3', 'MWET4'];False
691;59.105.999/0001-86;14346;WHIRLPOOL S.A;WHIRLPOOL S.A;1972-06-06;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;ESTRANGEIRO;Rua Olympia Semeraro, 675;1º Andar Sala 06 PA;Jardim Santa Emilia;SÃO PAULO;SP;4183090.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Fabricação e comercialização de eletrodomésticos;www.whirlpool.com.br;['WHRL3', 'WHRL4'];False
692;33.130.691/0001-05;26247;WILSON SONS S.A.;WILSON SONS S.A.;1971-01-29;Serviços Transporte e Logística;FASE OPERACIONAL;ESTRANGEIRO HOLDING;Praia de Botafogo 186, 4º andar;;Botafogo;RIO DE JANEIRO;RJ;22250145.0;KPMG AUDITORES INDEPENDENTES LTDA.;Administração dos bens da Companhia e participação no capital de outras sociedades.;wilsonsons.com.br;['PORT3'];False
693;42.278.473/0001-03;23590;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;1973-07-05;Seguradoras e Corretoras;FASE OPERACIONAL;PRIVADO;Setor Comercial Norte, Quadra 02, Bloco D, Ed. Liberty Mall;Entrada B, Sala 1301;Asa Norte;BRASÍLIA;DF;70712903.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Corretagem de seguros de todos os ramos, assessoria e consultoria na área de seguros em geral, intermediação e desenvolvimento de soluções em negócios, sem especificação definida, dentre outros.;www.wiz.co;['WIZC3'];False
694;33.228.024/0001-51;11070;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLM;1946-10-25;Máqs., Equip., Veíc. e Peças;FASE OPERACIONAL;PRIVADO;Praia do Flamengo nº 200;19º andar;Flamengo;RIO DE JANEIRO;RJ;22210901.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Comércio a varejo e por atacado de caminhões, automóveis, camionetas, utilitários novos e usados, máquinas, equipamentos, instalação e manutenção. Holding de instituições não-financeira.;www.wlm.com.br;['WLMM3', 'WLMM4'];False
699;02.217.319/0001-07;16705;YBYRA CAPITAL S.A;ALEF S/A;1997-10-06;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Av. José Silva de Azevedo Neto, nº 200;Bloco A, Sala 104;Barra da Tijuca;RIO DE JANEIRO;RJ;22775056.0;SÊNIOR AUDITORES INDEPENDENTES S/S;Holding - participação em outras sociedades;https://ybyracapital.com.br/ri/;['YBRA3', 'YBRA4'];False
700;08.807.432/0001-10;21016;YDUQS PARTICIPACOES S.A.;ESTACIO PARTICIPAÇÕES SA;2007-03-31;Educação;FASE OPERACIONAL;PRIVADO;Avenida Venezuela 43;6º andar;Saúde;RIO DE JANEIRO;RJ;20081311.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Desenvolve principalmente nas áreas de educação de nível superior, nas modalidades presencial e a distância, educação profissional e/ou outras áreas associadas à educação.;www.yduqs.com.br;['YDUQ3'];True
703;13.574.594/0001-96;24317;ZAMP S.A.;ZAMP S.A.;2011-04-06;Alimentos;FASE OPERACIONAL;PRIVADO;Alameda Tocantins, nº 350, 10º andar;10º andar;Alphaville;BARUERI;SP;6455020.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Prestação de serviços de operação e assessoria a restaurantes;www.zamp.com.br/ri;['ZAMP3'];False
