Code;Details
7390;INDS CHOCOLATE LACTA S/A (REGISTRO CANCELADO)
7382;INDS COELHO SA (REGISTRO CANCELADO)
12068;INDS DE BEBS JOAQUIM T A F SA (REGISTRO CANCELADO)
7404;INDS JOSSAN SA (REGISTRO CANCELADO)
7412;INDS KARINA SA (REGISTRO CANCELADO)
7439;INDS MADEIRIT SA (REGISTRO CANCELADO)
7455;INDS MINERVA SA (REGISTRO CANCELADO)
7463;INDS MONSANTO SA (REGISTRO CANCELADO)
5606;INDS NUCLEARES DO BRASIL SA (REGISTRO CANCELADO)
7471;INDS QUIMICAS NORTE SA (REGISTRO CANCELADO)
7498;INDS REUN VENIZELOS SA IVESA
7501;INDS ROMI DO NORDESTE SA (REGISTRO CANCELADO)
7528;INDS SCHNEIDER SA (REGISTRO CANCELADO)
7536;INDS TEXTEIS BARBERO SA (REGISTRO CANCELADO)
911818;INDUSTRIA QUIMICA KIMBERLIT LTDA (REGISTRO ATIVO)
900269;INDÚSTRIAS COLOMBO S.A. (REGISTRO ATIVO)
520373;INDUSTRIAS DUREINO S.A. (REGISTRO SUSPENSO)
7447;INDUSTRIAS MICHELETTO S/A (REGISTRO CANCELADO)
12866;IVI (REGISTRO CANCELADO)
16730;INEPAR ENERGIA SA (REGISTRO CANCELADO)
17868;EM RECUPERACAO JUDICIA (REGISTRO ATIVO)
7595;INEPAR S.A. INDUSTRIA E CONSTRUCOES (REGISTRO ATIVO)
21288;INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES (REGISTRO CANCELADO)
56804;INFOSYS LTD (REGISTRO ATIVO)
16314;INFOVIAS PNSC SA (REGISTRO CANCELADO)
911578;INFRA 6 PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
900144;INFRA BR V RODOVIAS HOLDING II S.A (REGISTRO ATIVO)
900140;INFRA BR V RODOVIAS HOLDING III S.A (REGISTRO ATIVO)
25747;INFRACOMMERCE CXAAS S.A. (REGISTRO ATIVO)
900285;INFRAESTRUTURA BRASIL HOLDING 35 S.A. (REGISTRO ATIVO)
912931;INFRAESTRUTURA BRASIL HOLDING I S/A (REGISTRO ATIVO)
913525;INFRAESTRUTURA BRASIL HOLDING II S.A. (REGISTRO ATIVO)
917616;A S.A (REGISTRO ATIVO)
915074;INFRAESTRUTURA BRASIL HOLDING IV S.A. (REGISTRO ATIVO)
914788;INFRAESTRUTURA BRASIL HOLDING IX (REGISTRO ATIVO)
917474;INFRAESTRUTURA BRASIL HOLDING XIX S.A. (REGISTRO ATIVO)
917473;INFRAESTRUTURA BRASIL HOLDING XVI S.A. (REGISTRO ATIVO)
917475;INFRAESTRUTURA BRASIL HOLDING XVII S.A. (REGISTRO ATIVO)
900295;INFRAESTRUTURA BRASIL HOLDING XX S.A. (REGISTRO ATIVO)
917665;INFRAESTRUTURA BRASIL HOLDING XXIV S.A (REGISTRO ATIVO)
900154;INFRAESTRUTURA BRASIL HOLDING XXV S.A. (REGISTRO ATIVO)
904425;INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILI (REGISTRO ATIVO)
21750;INFRASEC SECURITIZADORA S.A. (REGISTRO ATIVO)
52639;ING GROEP NV (REGISTRO ATIVO)
519685;INGÁ AGROFLORESTAL S.A. (REGISTRO ATIVO)
58386;INGERSOLL RAND INC (REGISTRO ATIVO)
59080;INGREDION INCORPORATED (REGISTRO ATIVO)
17558;INNCORP S.A. (REGISTRO CANCELADO)
517488;INONIBRAS INOCULANTES E FERRO LIGAS NIPO-BRASILEIROS S.A. (REGISTRO ATIVO)
915397;INOVA SAUDE SAO PAULO SPE S.A. (REGISTRO ATIVO)
915322;INOVA SAUDE SOROCABA SPE S.A. (REGISTRO ATIVO)
913400;INPASA AGROINDUSTRIAL S.A. (REGISTRO ATIVO)
91090;INPASA AGROINDUSTRIAL S/A (REGISTRO NÃO CONCEDIDO)
90530;INPASA AGROINDUSTRIAL S/A (REGISTRO NÃO CONCEDIDO)
917457;INSPIRA MUDANÇA PARTICIPAÇÕES S/A (REGISTRO ATIVO)
917054;INSPIRALI EDUCACAO S.A. (REGISTRO ATIVO)
27251;INSPIRALI EDUCACAO S.A. (REGISTRO ATIVO)
24090;INSTITUTO HERMES PARDINI S.A. (REGISTRO CANCELADO)
58394;INSULET CORP (REGISTRO ATIVO)
905125;INTEGRACAO MARANHENSE TRANSMISSORA DE ENERGIA S.A. (REGISTRO ATIVO)
910349;INTEGRAÇÃO TRANSMISSORA DE ENERGIA S.A (REGISTRO ATIVO)
50164;INTEL CORPORATION (REGISTRO ATIVO)
25453;INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA (REGISTRO ATIVO)
23043;GESTÃO DE ATIVOS DO CONHECIMENTO (REGISTRO CANCELADO)
80217;INTER CO INC (REGISTRO ATIVO)
57886;INTER CO INC (REGISTRO ATIVO)
917463;INTER HOLDING FINANCEIRA S.A. (REGISTRO ATIVO)
16179;INTERAGRO SA ALIMENTOS (REGISTRO CANCELADO)
25992;INTERCEMENT BRASIL S.A. (REGISTRO ATIVO)
909838;INTERCEMENT BRASIL S.A. (REGISTRO ATIVO)
19631;INTERCEMENT BRASIL S.A. (CANCELADO) (REGISTRO CANCELADO)
912790;INTERCEMENT PARTICIPACOES S.A. (REGISTRO ATIVO)
50830;INTERCONTINENTAL EXCHANCE INC. (REGISTRO ATIVO)
53937;INTERCONTINENTAL EXCHANGE INC (REGISTRO ATIVO)
56790;INTERCONTINENTAL HOTELS GROUP PLC (REGISTRO ATIVO)
22888;INTERCOSMETIC HOLDING S/A (REGISTRO CANCELADO)
904391;INTERLIGACAO ELETRICA DO MADEIRA S/A (REGISTRO ATIVO)
912451;INTERLIGACAO ELETRICA IVAI S/A (REGISTRO ATIVO)
903120;INTERLIGACAO ELETRICA SERRA DO JAPI S/A (REGISTRO ATIVO)
900039;INTERMARÍTIMA PORTOS E LOGÍSTICA S.A. (REGISTRO ATIVO)
23086;INTERMULTIMODAL S.A. OPERADORA DE PLATAFORMAS INTERNACIONAIS (REGISTRO CANCELADO)
50342;INTERNATIONAL BUSINESS MACHINES CORPORATION (REGISTRO ATIVO)
90000;INTERNATIONAL FINANCE CORPORATION
53945;INTERNATIONAL FLAVORS & FRAGRANCES INC (REGISTRO ATIVO)
23574;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A. (REGISTRO ATIVO)
22438;INTERNATIONAL MEAL COMPANY HOLDINGS S/A (REGISTRO CANCELADO)
21890;INTERNATIONAL MEAL COMPANY HOLDINGS, SA (REGISTRO CANCELADO)
53090;INTERNATIONAL PAPER CO (REGISTRO ATIVO)
26387;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A. (REGISTRO ATIVO)
53953;INTERPUBLIC GROUP OF COS INC (REGISTRO ATIVO)
50029;INTRA-CELLULAR THERAPIES INC (REGISTRO ATIVO)
51888;INTUIT INC (REGISTRO ATIVO)
55573;INTUITIVE SURGICAL INC (REGISTRO ATIVO)
53104;INVESCO LTD (REGISTRO ATIVO)
7609;INVESPAR SA (REGISTRO CANCELADO)
93360;INVEST TECH PARTICIPAÇÕES E INVESTIMENTOS S.A. (NÃO CONCEDID (REGISTRO NÃO CONCEDIDO)
18589;INVESTCO S.A. (REGISTRO ATIVO)
12505;INVESTEC SA (REGISTRO CANCELADO)
18570;INVESTHOTEL S.A. (REGISTRO CANCELADO)
6041;INVESTIMENTOS BEMGE S.A. (REGISTRO ATIVO)
18775;INVEPAR (REGISTRO ATIVO)
18120;INVESTMOBILE SA (REGISTRO CANCELADO)
51896;INVESTORS BANCORP INC (REGISTRO ATIVO)
18384;INVESTVALE SERVIÇOS S.A. (REGISTRO CANCELADO)
18791;INVISTA NYLON SUL AMERICANA S/A (REGISTRO CANCELADO)
58408;INVITATION HOMES INC (REGISTRO ATIVO)
21687;INVITEL LEGACY SA (REGISTRO CANCELADO)
17396;INVITEL SA (REGISTRO CANCELADO)
900231;INXU ENERGIA II LTDA (REGISTRO ATIVO)
900263;INXU ENERGIA LTDA (REGISTRO ATIVO)
11932;IOCHPE MAXION S.A. (REGISTRO ATIVO)
916765;IP SUL CONCESSIONARIA DE ILUMINACAO PUBLICA S.A. (REGISTRO ATIVO)
55581;IPG PHOTONICS CORP (REGISTRO ATIVO)
904417;IPIRANGA  PRODUTOS DE PETROLEO S.A. (REGISTRO ATIVO)
911701;IPIRANGA AGROINDUSTRIAL S.A. (REGISTRO ATIVO)
12300;IPIRANGA PETROQUIMICA SA (REGISTRO CANCELADO)
7641;IPLAC DO BR SA PLASTICOS INDL (REGISTRO CANCELADO)
56812;IQIYI INC (REGISTRO ATIVO)
54771;IQVIA HOLDINGS INC (REGISTRO ATIVO)
904433;IRACEMA TRANSMISSORA DE ENERGIA S/A (REGISTRO ATIVO)
13463;IRANI AGROFLORESTAL SA (REGISTRO CANCELADO)
2429;IRANI PAPEL E EMBALAGEM S.A. (REGISTRO ATIVO)
900163;IRAPURU HOLDING S.A (REGISTRO ATIVO)
24180;BRASIL RESSEGUROS S.A. (REGISTRO ATIVO)
16110;IRIRI PARTICIPACOES SA (REGISTRO CANCELADO)
7650;IRMAOS DAVOLI SA IMP E COM (REGISTRO CANCELADO)
914283;IRMÃOS MUFFATO & CIA LTDA. (REGISTRO ATIVO)
904441;IRON HOUSE DESENVOLVIMENTO IMOBILIARIO S.A. (REGISTRO ATIVO)
53970;IRON MOUNTAIN INC (REGISTRO ATIVO)
21458;IRONX MINERAÇÃO S/A (REGISTRO CANCELADO)
7668;IRPESA SA IND METALURGICA (REGISTRO CANCELADO)
904458;IRTHA EMPREENDIMENTOS IMOBILIARIOS S.A. (REGISTRO ATIVO)
20427;ISA CAPITAL DO BRASIL SA (REGISTRO CANCELADO)
904466;ISA INVESTIMENTOS E PARTICIPACOES DO BRASIL S.A. (REGISTRO ATIVO)
510971;ISA IRRIGAÇÃO SANTO ANDRÉ S.A. (REGISTRO ATIVO)
93785;ISH TECH S.A. (REGISTRO NÃO CONCEDIDO)
917302;ISH TECH S.A. (REGISTRO ATIVO)
50821;ISHARES 0-3 MONTH TREASURY BOND ETF (REGISTRO ATIVO)
50826;ISHARES 0-5 YEAR HIGH YIELD CORPORATE BOND ETF (REGISTRO ATIVO)
50018;ISHARES 0-5 YEAR TIPS BOND ETF (REGISTRO ATIVO)
50301;ISHARES 1-3 YEAR TREASURY BOND ETF (REGISTRO ATIVO)
50820;ISHARES 1-5 YEAR INVESTM GRADE CORPORATE BOND ETF (REGISTRO ATIVO)
50053;ISHARES 10 YEAR INVESTM GRADE CORPORATE BOND ETF (REGISTRO ATIVO)
50048;ISHARES 10-20 YEAR TREASURY BOND ETF (REGISTRO ATIVO)
50319;ISHARES 20 YEAR TREASURY BOND ETF (REGISTRO ATIVO)
50049;ISHARES 25 YEAR TREASURY STRIPS BOND ETF (REGISTRO ATIVO)
50289;ISHARES 3-7 YEAR TREASURY BOND ETF (REGISTRO ATIVO)
50271;ISHARES 7-10 YEAR TREASURY BOND ETF (REGISTRO ATIVO)
50014;A RATED CORPORATE BOND ETF (REGISTRO ATIVO)
79286;ISHARES BIOTECHNOLOGY ETF (REGISTRO ATIVO)
50036;ISHARES BITCOIN TRUST (REGISTRO ATIVO)
79600;ISHARES CHINA LARGE-CAP ETF (REGISTRO ATIVO)
50004;ISHARES CONVERTIBLE BOND ETF (REGISTRO ATIVO)
50009;ISHARES CORE AGGRESSIVE ALLOCATION ETF (REGISTRO ATIVO)
50010;ISHARES CORE CONSERVATIVE ALLOCATION ETF (REGISTRO ATIVO)
79588;ISHARES CORE DIVIDEND GROWTH ETF (REGISTRO ATIVO)
50022;ISHARES CORE GROWTH ALLOCATION ETF (REGISTRO ATIVO)
50408;ISHARES CORE HIGH DIVIDEND ETF (REGISTRO ATIVO)
50050;ISHARES CORE INTERNATIONAL AGGREGATE BOND ETF (REGISTRO ATIVO)
50023;ISHARES CORE MODERATE ALLOCATION ETF (REGISTRO ATIVO)
79170;ISHARES CORE MSCI EAFE ETF (REGISTRO ATIVO)
79189;ISHARES CORE MSCI EMERGING MARKETS ETF (REGISTRO ATIVO)
79405;ISHARES CORE MSCI EUROPE ETF (REGISTRO ATIVO)
50829;ISHARES CORE MSCI PACIFIC ETF (REGISTRO ATIVO)
50056;ISHARES CORE MSCI TOTAL INTERNATIONAL STOCK ETF (REGISTRO ATIVO)
79154;ISHARES CORE S&P 500 ETF (REGISTRO ATIVO)
79294;ISHARES CORE S&P MID-CAP ETF (REGISTRO ATIVO)
79308;ISHARES CORE S&P SMALL-CAP ETF (REGISTRO ATIVO)
79073;ISHARES CORE S&P TOTAL US STOCK MARKET ETF (REGISTRO ATIVO)
50221;ISHARES CORE TOTAL USD BOND MARKET ETF (REGISTRO ATIVO)
50015;ISHARES CORE U.S. AGGREGATE BOND ETF (REGISTRO ATIVO)
79650;ISHARES CORE US REIT ETF (REGISTRO ATIVO)
79472;ISHARES CURRENCY HEDGED MSCI EAFE ETF (REGISTRO ATIVO)
50838;ISHARES CURRENCY HEDGED MSCI EUROZONE ETF (REGISTRO ATIVO)
50839;ISHARES CURRENCY HEDGED MSCI JAPAN ETF (REGISTRO ATIVO)
50467;ISHARES CYBERSECURITY AND TECH ETF (REGISTRO ATIVO)
50011;ISHARES EMERGING MARKETS DIVIDEND ETF (REGISTRO ATIVO)
79260;ISHARES ESG AWARE MSCI EAFE ETF (REGISTRO ATIVO)
79278;ISHARES ESG AWARE MSCI EM ETF (REGISTRO ATIVO)
79251;ISHARES ESG AWARE MSCI USA ETF (REGISTRO ATIVO)
50006;ISHARES ESG AWARE US AGGREGATE BOND ETF (REGISTRO ATIVO)
50246;ISHARES ESG AWARE USD CORPORATE BOND ETF (REGISTRO ATIVO)
79677;ISHARES ESG MSCI USA LEADERS ETF (REGISTRO ATIVO)
79430;ISHARES EUROPE ETF (REGISTRO ATIVO)
50825;ISHARES EXPANDED TECH-SOFTWARE SECTOR ETF (REGISTRO ATIVO)
79243;ISHARES EXPONENTIAL TECHNOLOGIES ETF (REGISTRO ATIVO)
50007;ISHARES FALLEN ANGELS USD BOND ETF (REGISTRO ATIVO)
50254;ISHARES FLOATING RATE BOND ETF (REGISTRO ATIVO)
50521;ISHARES GENOMICS IMMUNOLOGY AND HEALTHCARE ETF (REGISTRO ATIVO)
50057;ISHARES GLOBAL 100 ETF (REGISTRO ATIVO)
79901;ISHARES GLOBAL CLEAN ENERGY ETF (REGISTRO ATIVO)
50416;ISHARES GLOBAL CONSUMER STAPLES ETF (REGISTRO ATIVO)
50827;ISHARES GLOBAL ENERGY ETF (REGISTRO ATIVO)
79855;ISHARES GLOBAL FINANCIALS ETF (REGISTRO ATIVO)
79324;ISHARES GLOBAL HEALTHCARE ETF (REGISTRO ATIVO)
79235;ISHARES GLOBAL INFRASTRUCTURE ETF (REGISTRO ATIVO)
79669;ISHARES GLOBAL REIT ETF (REGISTRO ATIVO)
79332;ISHARES GLOBAL TECH ETF (REGISTRO ATIVO)
79006;ISHARES GOLD TRUST (REGISTRO ATIVO)
50020;ISHARES GSCI COMMODITY DYNAMIC ROLL STRATEGY ETF (REGISTRO ATIVO)
50211;ISHARES IBOXX HIGH YIELD CORPORATE BOND ETF (REGISTRO ATIVO)
50238;ISHARES IBOXX INVESTMENT GRADE CORPORATE BOND ETF (REGISTRO ATIVO)
50021;ISHARES INTERNATIONAL SELECT DIVIDEND ETF (REGISTRO ATIVO)
50052;ISHARES INTERNATIONAL TREASURY BOND ETF (REGISTRO ATIVO)
50003;ISHARES JP MORGAN EM LOCAL CURRENCY BOND ETF (REGISTRO ATIVO)
79146;ISHARES LATIN AMERICA 40 ETF (REGISTRO ATIVO)
50005;ISHARES MBS ETF (REGISTRO ATIVO)
50475;ISHARES MORTGAGE REAL ESTATE ETF (REGISTRO ATIVO)
79162;ISHARES MSCI ACWI ETF (REGISTRO ATIVO)
50531;ISHARES MSCI ACWI LOW CARBON TARGET ETF (REGISTRO ATIVO)
50835;ISHARES MSCI AGRICULTURE PRODUCERS ETF (REGISTRO ATIVO)
79030;ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF (REGISTRO ATIVO)
79626;ISHARES MSCI AUSTRALIA ETF (REGISTRO ATIVO)
79383;ISHARES MSCI BRAZIL ETF (REGISTRO ATIVO)
79618;ISHARES MSCI CANADA ETF (REGISTRO ATIVO)
50058;ISHARES MSCI CHILE ETF (REGISTRO ATIVO)
50424;ISHARES MSCI CHINA A ETF (REGISTRO ATIVO)
79227;ISHARES MSCI CHINA ETF (REGISTRO ATIVO)
79014;ISHARES MSCI EAFE ETF (REGISTRO ATIVO)
79537;ISHARES MSCI EAFE GROWTH ETF (REGISTRO ATIVO)
79464;ISHARES MSCI EAFE MIN VOL FACTOR ETF (REGISTRO ATIVO)
79880;ISHARES MSCI EAFE SMALL-CAP ETF (REGISTRO ATIVO)
79561;ISHARES MSCI EAFE VALUE ETF (REGISTRO ATIVO)
79022;ISHARES MSCI EMERGING MARKETS ETF (REGISTRO ATIVO)
50012;ISHARES MSCI EMERGING MARKETS EX CHINA ETF (REGISTRO ATIVO)
79499;ISHARES MSCI EMERGING MARKETS MIN VOL FACTOR ETF (REGISTRO ATIVO)
50483;ISHARES MSCI EUROPE FINANCIALS ETF (REGISTRO ATIVO)
79391;ISHARES MSCI EUROZONE ETF (REGISTRO ATIVO)
79642;ISHARES MSCI FRANCE ETF (REGISTRO ATIVO)
79103;ISHARES MSCI GERMANY ETF (REGISTRO ATIVO)
50548;ISHARES MSCI GLOBAL METALS & MINING PRODUCERS ETF (REGISTRO ATIVO)
79596;ISHARES MSCI GLOBAL MIN VOL FACTOR ETF (REGISTRO ATIVO)
50564;ISHARES MSCI GLOBAL SUSTAINABLE DEVELOP GOALS ETF (REGISTRO ATIVO)
79359;ISHARES MSCI HONG KONG ETF (REGISTRO ATIVO)
79375;ISHARES MSCI INDIA ETF (REGISTRO ATIVO)
79200;ISHARES MSCI JAPAN ETF (REGISTRO ATIVO)
79111;ISHARES MSCI MEXICO ETF (REGISTRO ATIVO)
50837;ISHARES MSCI PACIFIC EX JAPAN ETF (REGISTRO ATIVO)
79871;ISHARES MSCI RUSSIA ETF (REGISTRO ATIVO)
50432;ISHARES MSCI SAUDI ARABIA ETF (REGISTRO ATIVO)
79340;ISHARES MSCI SOUTH KOREA ETF (REGISTRO ATIVO)
79120;ISHARES MSCI SPAIN ETF (REGISTRO ATIVO)
79634;ISHARES MSCI SWITZERLAND ETF (REGISTRO ATIVO)
79367;ISHARES MSCI TAIWAN ETF (REGISTRO ATIVO)
79090;ISHARES MSCI UNITED KINGDOM ETF (REGISTRO ATIVO)
50055;ISHARES MSCI USA EQUAL WEIGHTED ETF (REGISTRO ATIVO)
79928;ISHARES MSCI USA ESG SELECT ETF (REGISTRO ATIVO)
79081;ISHARES MSCI USA MIN VOL FACTOR ETF (REGISTRO ATIVO)
79480;ISHARES MSCI USA MOMENTUM FACTOR ETF (REGISTRO ATIVO)
79502;ISHARES MSCI USA QUALITY FACTOR ETF (REGISTRO ATIVO)
79510;ISHARES MSCI USA SIZE FACTOR ETF (REGISTRO ATIVO)
79545;ISHARES MSCI USA VALUE FACTOR ETF (REGISTRO ATIVO)
79910;ISHARES MSCI WORLD ETF (REGISTRO ATIVO)
50824;ISHARES NATIONAL MUNI BOND ETF (REGISTRO ATIVO)
50823;ISHARES NORTH AMERICAN NATURAL RESOURCES ETF (REGISTRO ATIVO)
79316;ISHARES PREFERRED & INCOME SECURITIES ETF (REGISTRO ATIVO)
50491;ISHARES RESIDENTIAL MULTISECTOR REAL ESTATE ETF (REGISTRO ATIVO)
50556;ISHARES ROBOTICS ARTIFICIAL INTELLIG MULTISECT ETF (REGISTRO ATIVO)
79570;ISHARES RUSSELL 1000 GROWTH ETF (REGISTRO ATIVO)
79065;ISHARES RUSSELL 2000 ETF (REGISTRO ATIVO)
79847;ISHARES S&P 100 ETF (REGISTRO ATIVO)
79456;ISHARES S&P 500 GROWTH ETF (REGISTRO ATIVO)
79448;ISHARES S&P 500 VALUE ETF (REGISTRO ATIVO)
50441;ISHARES S&P SMALL-CAP 600 VALUE ETF (REGISTRO ATIVO)
79049;ISHARES SELECT DIVIDEND ETF (REGISTRO ATIVO)
50505;ISHARES SELF-DRIVING EV AND TECH ETF (REGISTRO ATIVO)
79898;ISHARES SEMICONDUCTOR ETF (REGISTRO ATIVO)
50297;ISHARES SHORT TREASURY BOND ETF (REGISTRO ATIVO)
79057;ISHARES SILVER TRUST (REGISTRO ATIVO)
50019;ISHARES TIPS BOND ETF (REGISTRO ATIVO)
50013;ISHARES TREASURY FLOATING RATE BOND ETF (REGISTRO ATIVO)
50833;ISHARES U.S. BASIC MATERIALS ETF (REGISTRO ATIVO)
79863;ISHARES U.S. ENERGY ETF (REGISTRO ATIVO)
79553;ISHARES U.S. FINANCIAL SERVICES ETF (REGISTRO ATIVO)
50834;ISHARES U.S. HEALTHCARE PROVIDERS ETF (REGISTRO ATIVO)
50828;ISHARES U.S. HOME CONSTRUCTION ETF (REGISTRO ATIVO)
50831;ISHARES U.S. INDUSTRIALS ETF (REGISTRO ATIVO)
79529;ISHARES U.S. MEDICAL DEVICES ETF (REGISTRO ATIVO)
50054;ISHARES U.S. REGIONAL BANKS ETF (REGISTRO ATIVO)
79138;ISHARES US AEROSPACE & DEFENSE ETF (REGISTRO ATIVO)
50459;ISHARES US CONSUMER DISCRETIONARY ETF (REGISTRO ATIVO)
50513;ISHARES US CONSUMER STAPLES ETF (REGISTRO ATIVO)
79219;ISHARES US FINANCIALS ETF (REGISTRO ATIVO)
50572;ISHARES US INFRASTRUCTURE ETF (REGISTRO ATIVO)
50836;ISHARES US OIL & GAS EXPLORATION & PRODUCTION ETF (REGISTRO ATIVO)
50832;ISHARES US PHARMACEUTICALS ETF (REGISTRO ATIVO)
79197;ISHARES US TECHNOLOGY ETF (REGISTRO ATIVO)
50840;ISHARES US TRANSPORTATION ETF (REGISTRO ATIVO)
50262;ISHARES US TREASURY BOND ETF (REGISTRO ATIVO)
50581;ISHARES US UTILITIES ETF (REGISTRO ATIVO)
50001;ISHARES USD GREEN BOND ETF (REGISTRO ATIVO)
904474;ISOLUX ENERGIA E PARTICIPACOES S/A (REGISTRO ATIVO)
22624;ISOLUX INFRASTRUCTURE S.A. (REGISTRO CANCELADO)
18910;ITA ENERGETICA S/A (REGISTRO CANCELADO)
15601;ITABAPOANA PARTICIPACOES SA (REGISTRO CANCELADO)
500984;ITAGUARANA S.A. (REGISTRO ATIVO)
518140;ITAGUASSU AGRO INDUSTRIAL S.A. (REGISTRO ATIVO)
7692;ITAGUASSU AGRO INDUSTRIAL S/A
15865;ITAITINGA PARTICIPACOES SA (REGISTRO CANCELADO)
504793;ITAITUBA INDÚSTRIA DE CIMENTOS DO PARÁ S.A. (REGISTRO ATIVO)
915421;ITAMARACA TRANSMISSORA SPE S.A (REGISTRO ATIVO)
7706;ITAMARATY FILTROS DE PAPEL SA (REGISTRO CANCELADO)
7722;ITAPARICA SA EMPREEND TURIST (REGISTRO CANCELADO)
19364;ITAPEBI GERACAO DE ENERGIA S.A. (REGISTRO ATIVO)
7730;ITAPIRUBA HOTEIS E TURISMO SA
501441;ITAPISSUMA S.A. (REGISTRO ATIVO)
510521;ITAPITANGA INDÚSTRIA DE CIMENTOS DE MATO GROSSO S.A. (REGISTRO ATIVO)
913772;ITAPOÁ PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
904540;ITAPOA TERMINAIS PORTUARIOS S.A. (REGISTRO ATIVO)
916714;ITAPUA PARTICIPACOES LTDA
904532;ITAREMA GERACAO DE ENERGIA S.A. (REGISTRO ATIVO)
17019;ITAÚ RENT ADM. E PARTICIPAÇÕES S.A. (REGISTRO CANCELADO)
19348;ITAU UNIBANCO HOLDING S.A. (REGISTRO ATIVO)
1279;ITAÚ UNIBANCO HOLDING S.A.
1287;ITAU UNIBANCO S/A (REGISTRO CANCELADO)
1821;ARRENDAMENTO MER (REGISTRO CANCELADO)
7617;ITAUSA S.A. (REGISTRO ATIVO)
19933;ITAUSEG PARTICIPAÇÕES SA (REGISTRO CANCELADO)
7757;GRUPO ITAUTEC (REGISTRO CANCELADO)
12530;GRUPO ITAUTEC (REGISTRO CANCELADO)
506435;ITAUTINGA AGROINDUSTRIAL S.A. (REGISTRO ATIVO)
16136;ITINGA PARTICIPACOES SA (REGISTRO CANCELADO)
917483;ITIQUIRA ENERGETICA S.A. (REGISTRO ATIVO)
18732;ITIQUIRA ENERGÉTICA S/A (REGISTRO CANCELADO)
915561;ITR COMERCIO DE PNEUS E PECAS S.A. (REGISTRO ATIVO)
59099;ITRON INC (REGISTRO ATIVO)
14389;IVEN SA (REGISTRO CANCELADO)
900193;IVI ENERGIA S.A. (REGISTRO ATIVO)
914580;J A SAUDE ANIMAL INDUSTRIA COMERCIO PRODUTOS VETER (REGISTRO ATIVO)
7765;J H SANTOS SA COM E INDUSTRIA (REGISTRO CANCELADO)
51357;J. C. PENNEY COMPANY, INC. (REGISTRO ATIVO)
21156;J. MACEDO S.A. (REGISTRO ATIVO)
904649;J. MALUCELLI ENERGIA S/A (REGISTRO ATIVO)
518964;J.C. BARRETTO FERTILIZANTES S.A. (REGISTRO ATIVO)
900318;JA AGRONEGÓCIOS COMÉRCIO E DISTRIBUIÇÃO DE PRODUTO (REGISTRO ATIVO)
58416;JABIL INC (REGISTRO ATIVO)
55590;JACK HENRY & ASSOCIATES INC (REGISTRO ATIVO)
54780;JACOBS SOLUTIONS INC. (REGISTRO ATIVO)
917668;JAGUAR INDÚSTRIA E COMÉRCIO DE PLÁSTICOS S.A. (REGISTRO ATIVO)
917628;JAIBA SE1 ENERGIAS RENOVÁVEIS S.A. (REGISTRO ATIVO)
11878;JAIME PINHEIRO PARTIC. S/A (REGISTRO CANCELADO)
25496;JALLES MACHADO S.A. (REGISTRO ATIVO)
7773;JAMYR VASCONCELLOS SA (REGISTRO CANCELADO)
910752;JANAUBA TRANSMISSORA DE ENERGIA ELETRICA S.A. (REGISTRO ATIVO)
900187;JANUARIO DE NAPOLI GERACAO DE ENERGIA S/A (REGISTRO ATIVO)
7781;JARAGUA FABRIL SA (REGISTRO CANCELADO)
7790;JARAGUA SA IND MECANICAS (REGISTRO CANCELADO)
14354;JARI CELULOSE SA (REGISTRO CANCELADO)
7803;JAU SA CONST E INCORPORADORA (REGISTRO CANCELADO)
904557;JAURU TRANSMISSORA DE ENERGIA S/A (REGISTRO ATIVO)
58424;JAZZ PHARMACEUTICALS PLC (REGISTRO ATIVO)
54798;JB HUNT TRANSPORT SERVICES INC (REGISTRO ATIVO)
20575;JBS S.A. (REGISTRO ATIVO)
904573;JCPM PARTICIPACOES E EMPREENDIMENTOS S/A (REGISTRO ATIVO)
52396;JD.COM INC (REGISTRO ATIVO)
904599;JEF INVESTIMENTOS S.A. (REGISTRO ATIVO)
55603;JEFFERIES FINANCIAL GROUP INC (REGISTRO ATIVO)
904615;JFL V HOUSE INVESTIMENTOS IMOBILIARIOS S. A. (REGISTRO ATIVO)
904631;JHSF MALLS S.A (REGISTRO ATIVO)
24473;JHSF MALLS S.A. (REGISTRO CANCELADO)
904623;JHSF MANAUS EMPREENDIMENTOS E INCORPORACOES S.A. (REGISTRO ATIVO)
20605;JHSF PARTICIPACOES S.A. (REGISTRO ATIVO)
18805;JIQUIRIÇA PARTICIPAÇÕES SA (REGISTRO CANCELADO)
916494;JIVE INVESTMENTS CONSULTORIA S.A.
7811;JOAO FORTES ENGENHARIA S.A. (REGISTRO ATIVO)
911743;JOHN DEERE DTVM LTDA (REGISTRO ATIVO)
59102;JOHN WILEY & SONS INC (REGISTRO ATIVO)
50350;JOHNSON & JOHNSON (REGISTRO ATIVO)
