Code;Details
519154;AGROPECUARIA FIO DE OURO S.A. (REGISTRO CANCELADO)
519642;AGROPECUÁRIA FOGLIATELLI S.A. (REGISTRO ATIVO)
519251;AGROPECUARIA PINGUIM S.A. (REGISTRO ATIVO)
520080;AGROPECUÁRIA PONTAL DO PARANAITA S.A. (REGISTRO ATIVO)
503878;AGROPECUÁRIA RICASTRO S.A. (REGISTRO ATIVO)
519804;AGROPECUÁRIA RIO URUARÁ S.A. (REGISTRO ATIVO)
520101;AGROPECUÁRIA SANTA RITA DO MARAJÓ S.A. (REGISTRO ATIVO)
520640;AGROPECUARIA TAMAKAVY S.A. (REGISTRO ATIVO)
213;AGROPECUARIA TAMAKAVY SA
900134;AGROVIA DO NORDESTE S.A. (REGISTRO ATIVO)
911875;AGUA LIMPA ENERGIA S/A (REGISTRO ATIVO)
916175;AGUA VERMELHA TRANSMISSORA DE ENERGIA S.A (REGISTRO ATIVO)
901421;CONCESSIONARIA DE SERVICOS PUBL (REGISTRO ATIVO)
900099;ÁGUAS DA IMPERATRIZ S.A (REGISTRO ATIVO)
900084;AGUAS DE CAMBORIU SANEAMENTO SPE S.A. (REGISTRO ATIVO)
900182;AGUAS DE GOVERNADOR VALADARES SPE S.A. (REGISTRO ATIVO)
900142;AGUAS DE NITEROI S.A. (REGISTRO ATIVO)
916730;AGUAS DE NOVA FRIBURGO LTDA. (REGISTRO ATIVO)
900324;AGUAS DE PENHA SANEAMENTO SPE S.A. (REGISTRO ATIVO)
900175;AGUAS DE SAO FRANCISCO DO SUL SPE S.A. (REGISTRO ATIVO)
900480;AGUAS DE SINOP S A (REGISTRO ATIVO)
904169;AGUAS DE TERESINA SANEAMENTO  SPE  S.A. (REGISTRO ATIVO)
25615;AGUAS DE TERESINA SANEAMENTO  SPE  S.A. (REGISTRO ATIVO)
90727;90416 (REGISTRO ATIVO)
90735;ÁGUAS DE TERESINA SANEAMENTO SPE S.A. (REGISTRO NÃO CONCEDIDO)
900183;AGUAS DE TIMON SANEAMENTO S.A. (REGISTRO ATIVO)
916722;AGUAS DO IMPERADOR S.A. (REGISTRO ATIVO)
900159;AGUAS DO PARAIBA S/A (REGISTRO ATIVO)
26735;ÁGUAS DO RIO 1 SPE S.A. (REGISTRO ATIVO)
26743;ÁGUAS DO RIO 4 SPE S.A. (REGISTRO ATIVO)
27359;ÁGUAS DO SERTÃO S.A. (REGISTRO ATIVO)
917520;ÁGUAS DO SERTÃO S.A. (REGISTRO ATIVO)
95338;ÁGUAS DO SERTAO S.A. (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
23442;AGUAS GUARIROBA  S/A (REGISTRO ATIVO)
917498;ÁGUIA BRANCA PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
21806;AGV HOLDING S/A (REGISTRO CANCELADO)
9288;AIR LIQUIDE (REGISTRO CANCELADO)
54399;AIR PRODUCTS & CHEMICALS INC (REGISTRO ATIVO)
57193;AIRBNB INC (REGISTRO ATIVO)
914671;AK 24 EMPREENDIMENTOS E PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
53554;AKAMAI TECHNOLOGIES INC (REGISTRO ATIVO)
57770;AKZO NOBEL (REGISTRO ATIVO)
17957;AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES S (REGISTRO CANCELADO)
55247;ALASKA AIR GROUP INC (REGISTRO ATIVO)
18074;ALBAE PARTICIPACOES SA (REGISTRO CANCELADO)
13242;ALBATROZ SA (REGISTRO CANCELADO)
54402;ALBEMARLE CORP (REGISTRO ATIVO)
916846;ALBIOMA CODORA ENERGIA S.A. (REGISTRO ATIVO)
917502;ALBIOMA SOLAR BRASIL LTDA (REGISTRO ATIVO)
15067;ALCALIS RIO GRANDE DO NORTE SA (REGISTRO CANCELADO)
256;ALCAN ALUMINIO DO BRASIL SA (REGISTRO CANCELADO)
264;ALCOA ALUMINIO SA (REGISTRO CANCELADO)
913764;ALCOESTE BIOENERGIA FERNANDÓPOLIS S.A. (REGISTRO ATIVO)
57983;ALCON INC (REGISTRO ATIVO)
917179;ALDO COMPONENTES ELETRONICOS S/A (REGISTRO ATIVO)
900209;ALESAT COMBUSTIVEIS  S/A (REGISTRO ATIVO)
916130;ALEX ENERGIA PARTICIPACOES S.A.
55255;ALEXANDRIA REAL ESTATE EQUITIES INC (REGISTRO ATIVO)
52663;ALEXION PHARMACEUTICALS INC (REGISTRO ATIVO)
9954;ALFA HOLDINGS S.A. (REGISTRO ATIVO)
272;ALFRED NORDESTE SA INDUSTRIA VESTUARIO (REGISTRO CANCELADO)
280;ALFRED SA COMERCIO DO VESTUARIO (REGISTRO CANCELADO)
900217;ALGAR TECNOLOGIA E CONSULTORIA  S.A. (REGISTRO ATIVO)
21032;ALGAR TELECOM S/A (REGISTRO ATIVO)
904102;ALGAR TI CONSULTORIA S.A (REGISTRO ATIVO)
900225;ALIANCA GERACAO DE ENERGIA S.A. (REGISTRO ATIVO)
910992;ALIANCA TRANSPORTADORA DE GAS PARTICIPACOES S.A (REGISTRO ATIVO)
21300;ALIANSCE SHOPPING CENTERS S/A (REGISTRO CANCELADO)
52280;ALIBABA GROUP HOLDING LTD (REGISTRO ATIVO)
53562;ALIGN TECHNOLOGY INC (REGISTRO ATIVO)
18260;ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA (REGISTRO CANCELADO)
14079;ALIPAR ALIMENTOS E PARTS SA (REGISTRO CANCELADO)
917569;ALISEO EMPREENDIMENTOS E PARTICIPACOES S.A. (REGISTRO ATIVO)
18082;ALIUM PARTICIPAÇÕES SA (REGISTRO CANCELADO)
520225;ALL FAMA INDUSTRIAL S.A. (REGISTRO ATIVO)
55263;ALLEGION PLC (REGISTRO ATIVO)
57789;ALLFUNDS GROUP (REGISTRO ATIVO)
24058;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
55271;ALLIANT ENERGY CORP (REGISTRO ATIVO)
25330;ALLIED TECNOLOGIA S.A. (REGISTRO ATIVO)
900233;ALLIED TECNOLOGIA S.A. (REGISTRO ATIVO)
20850;ALLIS PARTICIPAÇÕES S.A. (REGISTRO CANCELADO)
914200;ALLONDA AMBIENTAL PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
917362;ALLONDA AMBIENTAL SANEAMENTO S.A. (REGISTRO ATIVO)
22357;ALLOS S.A (REGISTRO ATIVO)
900258;ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S (REGISTRO ATIVO)
24953;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A (REGISTRO ATIVO)
53570;ALLSTATE CORP (REGISTRO ATIVO)
80225;ALMACENES EXITO S.A. (REGISTRO ATIVO)
302;ALMEC INDUSTRIAS MECANICA SA (REGISTRO CANCELADO)
900241;ALMEIDA JUNIOR SHOPPING CENTERS S.A. (REGISTRO ATIVO)
26395;ALMEIDA JUNIOR SHOPPING CENTERS S.A. (REGISTRO ATIVO)
91120;ALMEIDA JUNIOR SHOPPING CENTERS S.A. (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
55964;ALNYLAM PHARMACEUTICALS INC (REGISTRO ATIVO)
10456;ALPARGATAS S.A. (REGISTRO ATIVO)
310;ALPART ALPA PARTICIPACOES SA (REGISTRO CANCELADO)
22217;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A. (REGISTRO ATIVO)
